fname,lambda_010,lambda_025,lambda_050,lambda_075,lambda_100,lambda_inf,lambda_000
Demo_Camelyon16/HR/Demo_Camelyon16_10048-78656.jpg,1,1,0,1,1,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10048-79168.jpg,1,0,0,1,0,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10048-79680.jpg,1,1,0,1,0,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10048-80192.jpg,0,1,1,1,0,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10048-80704.jpg,1,0,0,1,0,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10048-81216.jpg,1,1,0,1,0,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10048-81728.jpg,1,1,0,1,0,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10048-82240.jpg,1,1,1,1,0,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10048-82752.jpg,1,1,0,1,1,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10048-83264.jpg,1,1,1,1,0,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10496-121856.jpg,1,1,0,1,1,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10496-122880.jpg,1,1,0,1,1,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10496-123392.jpg,1,1,0,1,1,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10496-126976.jpg,1,1,1,0,0,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10496-127488.jpg,1,1,0,1,1,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10496-128000.jpg,1,0,0,1,1,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10496-128512.jpg,1,0,1,0,1,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10496-129024.jpg,1,0,0,0,1,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10496-129536.jpg,1,0,0,1,1,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10496-130048.jpg,1,0,0,1,1,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10496-130560.jpg,1,0,0,1,1,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10496-131072.jpg,1,0,1,1,0,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10496-131584.jpg,1,0,1,1,1,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10496-132096.jpg,1,0,1,1,1,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10496-132608.jpg,1,0,0,1,1,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10496-133120.jpg,1,0,1,1,1,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10496-133632.jpg,1,0,1,1,0,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10496-134144.jpg,1,0,0,1,1,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10496-134656.jpg,1,0,1,1,0,0,1
Demo_Camelyon16/HR/Demo_Camelyon16_10496-135168.jpg,1,0,1,1,1,0,1
